id	url	imdb_code	title	title_english	title_long	slug	year	rating	runtime	genres	summary	description_full	synopsis	yt_trailer_code	language	mpa_rating	background_image	background_image_original	small_cover_image	medium_cover_image	large_cover_image	state	date_uploaded	date_uploaded_unix
47113	https://yts.mx/movies/we-hold-the-line-2020	tt12352162	We Hold the Line	We Hold the Line	We Hold the Line (2020)	we-hold-the-line-2020	2020	7.7	86	{Documentary}	In 2016, President Rodrigo Duterte began a murderous campaign in the Philippines. Since then, tens of thousands of drug addicts and bystanders have been murdered by death squads. The journalist Maria Ressa is one of the last indomitable people to uncover the background to the murders. People who have escaped the hunt, politicians and members of death squads report on the drug war.	In 2016, President Rodrigo Duterte began a murderous campaign in the Philippines. Since then, tens of thousands of drug addicts and bystanders have been murdered by death squads. The journalist Maria Ressa is one of the last indomitable people to uncover the background to the murders. People who have escaped the hunt, politicians and members of death squads report on the drug war.	In 2016, President Rodrigo Duterte began a murderous campaign in the Philippines. Since then, tens of thousands of drug addicts and bystanders have been murdered by death squads. The journalist Maria Ressa is one of the last indomitable people to uncover the background to the murders. People who have escaped the hunt, politicians and members of death squads report on the drug war.		de		https://yts.mx/assets/images/movies/we_hold_the_line_2020/background.jpg	https://yts.mx/assets/images/movies/we_hold_the_line_2020/background.jpg	https://yts.mx/assets/images/movies/we_hold_the_line_2020/small-cover.jpg	https://yts.mx/assets/images/movies/we_hold_the_line_2020/medium-cover.jpg	https://yts.mx/assets/images/movies/we_hold_the_line_2020/large-cover.jpg	ok	2022-12-01 01:45:42	1669855542
47108	https://yts.mx/movies/the-snowball-effect-2022	tt19751484	The Snowball Effect	The Snowball Effect	The Snowball Effect (2022)	the-snowball-effect-2022	2022	0.0	0	{Romance}	Two weather rivals trapped in the same small town that Christmas has forgotten must create the best weather report to get their dream job.	Two weather rivals trapped in the same small town that Christmas has forgotten must create the best weather report to get their dream job.	Two weather rivals trapped in the same small town that Christmas has forgotten must create the best weather report to get their dream job.	xITirrP9uIQ	en		https://yts.mx/assets/images/movies/the_snowball_effect_2022/background.jpg	https://yts.mx/assets/images/movies/the_snowball_effect_2022/background.jpg	https://yts.mx/assets/images/movies/the_snowball_effect_2022/small-cover.jpg	https://yts.mx/assets/images/movies/the_snowball_effect_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/the_snowball_effect_2022/large-cover.jpg	ok	2022-12-01 00:12:49	1669849969
47106	https://yts.mx/movies/last-flight-home-2022	tt16377430	Last Flight Home	Last Flight Home	Last Flight Home (2022)	last-flight-home-2022	2022	7.3	106	{Documentary}	On an unremarkable suburban street, we find Eli Timoner in his final days and discover an extraordinary life, one filled with wild achievements, tragic loss and above all, enduring love from his incredibly close-knit family. LAST FLIGHT HOME shares a heart-wrenching and stunning verité account of a family courageously facing both life and death.	On an unremarkable suburban street, we find Eli Timoner in his final days and discover an extraordinary life, one filled with wild achievements, tragic loss and above all, enduring love from his incredibly close-knit family. LAST FLIGHT HOME shares a heart-wrenching and stunning verité account of a family courageously facing both life and death.	On an unremarkable suburban street, we find Eli Timoner in his final days and discover an extraordinary life, one filled with wild achievements, tragic loss and above all, enduring love from his incredibly close-knit family. LAST FLIGHT HOME shares a heart-wrenching and stunning verité account of a family courageously facing both life and death.	HFji1GAggog	en		https://yts.mx/assets/images/movies/last_flight_home_2022/background.jpg	https://yts.mx/assets/images/movies/last_flight_home_2022/background.jpg	https://yts.mx/assets/images/movies/last_flight_home_2022/small-cover.jpg	https://yts.mx/assets/images/movies/last_flight_home_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/last_flight_home_2022/large-cover.jpg	ok	2022-12-01 00:19:03	1669850343
47100	https://yts.mx/movies/missing-2021	tt15482370	Missing	Missing	Missing (2021)	missing-2021	2021	7.2	124	{Action}	Following the death of his wife, Santoshi has sunk into depression and debt, much to the consternation of his daughter, high school student Kaede. To ease their debt, Santoshi tells Kaede he will track down a serial killer and collect the reward, but Santoshi disappears and Kaede must find out what happened to him. What appears to be a familiar mystery narrative takes unexpected turns into the depths of human emotion.	Following the death of his wife, Santoshi has sunk into depression and debt, much to the consternation of his daughter, high school student Kaede. To ease their debt, Santoshi tells Kaede he will track down a serial killer and collect the reward, but Santoshi disappears and Kaede must find out what happened to him. What appears to be a familiar mystery narrative takes unexpected turns into the depths of human emotion.	Following the death of his wife, Santoshi has sunk into depression and debt, much to the consternation of his daughter, high school student Kaede. To ease their debt, Santoshi tells Kaede he will track down a serial killer and collect the reward, but Santoshi disappears and Kaede must find out what happened to him. What appears to be a familiar mystery narrative takes unexpected turns into the depths of human emotion.	rbcLFX66I_I	ja		https://yts.mx/assets/images/movies/missing_2022/background.jpg	https://yts.mx/assets/images/movies/missing_2022/background.jpg	https://yts.mx/assets/images/movies/missing_2022/small-cover.jpg	https://yts.mx/assets/images/movies/missing_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/missing_2022/large-cover.jpg	ok	2022-12-01 01:58:42	1669856322
47097	https://yts.mx/movies/sappy-holiday-2022	tt19037878	Sappy Holiday	Sappy Holiday	Sappy Holiday (2022)	sappy-holiday-2022	2022	0.0	0	{Romance}	When a sous chef accidentally discovers her boyfriend is going to propose to her on Christmas Eve, she begins doubting their future together; especially when a handsome maple farmer rescues her from a snowstorm.	When a sous chef accidentally discovers her boyfriend is going to propose to her on Christmas Eve, she begins doubting their future together; especially when a handsome maple farmer rescues her from a snowstorm.	When a sous chef accidentally discovers her boyfriend is going to propose to her on Christmas Eve, she begins doubting their future together; especially when a handsome maple farmer rescues her from a snowstorm.	dIQEOCW3R3c	en		https://yts.mx/assets/images/movies/sappy_holiday_2022/background.jpg	https://yts.mx/assets/images/movies/sappy_holiday_2022/background.jpg	https://yts.mx/assets/images/movies/sappy_holiday_2022/small-cover.jpg	https://yts.mx/assets/images/movies/sappy_holiday_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/sappy_holiday_2022/large-cover.jpg	ok	2022-12-01 00:16:35	1669850195
47096	https://yts.mx/movies/riotsville-u-s-a-2022	tt11398388	Riotsville, U.S.A.	Riotsville, U.S.A.	Riotsville, U.S.A. (2022)	riotsville-u-s-a-2022	2022	6.6	91	{Documentary}	Welcome to Riotsville, a fictional town built by the US military. Using all archival footage, the film explores the militarization of the police and creates a counter-narrative to the nation's reaction to the uprisings of the late '60s.	Welcome to Riotsville, a fictional town built by the US military. Using all archival footage, the film explores the militarization of the police and creates a counter-narrative to the nation's reaction to the uprisings of the late '60s.	Welcome to Riotsville, a fictional town built by the US military. Using all archival footage, the film explores the militarization of the police and creates a counter-narrative to the nation's reaction to the uprisings of the late '60s.	Pfxelk8-gTU	en		https://yts.mx/assets/images/movies/riotsville_u_s_a_2022/background.jpg	https://yts.mx/assets/images/movies/riotsville_u_s_a_2022/background.jpg	https://yts.mx/assets/images/movies/riotsville_u_s_a_2022/small-cover.jpg	https://yts.mx/assets/images/movies/riotsville_u_s_a_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/riotsville_u_s_a_2022/large-cover.jpg	ok	2022-12-01 02:09:08	1669856948
47093	https://yts.mx/movies/dorome-girls-2016	tt5277430	Dorome: Girls	Dorome: Girls	Dorome: Girls (2016)	dorome-girls-2016	2016	4.5	98	{Horror}	"The ""boys' version"" of this coming-of-age horror film depicts the joint training camp of the drama clubs of boys' and girls' high schools in two films, the ""boys' version"" and the ""girls' version,"" each depicting the drama clubs from the respective perspectives of boys and girls. The drama club of Muduchi High School, a boys' high school located on top of a mountain, invites Shiran High School, a girls' high school, to hold a joint camp in anticipation of the school's integration into a co-ed school the following year. The boys' club members, including Sota, who are excited to meet the girls, and the girls' club members, including Koharu, start the joint training camp, but a series of frightening and strange events occur to the club members. It soon becomes clear that they are the work of ""Dorome,"" an old mountain legend. The ""Boys' Arc"" stars Yuta Ozeki (Gomenne Seishun!) as Sota, the main character of the ""Boys' Arc. and Aoi Morikawa plays Koharu, a member of the girls' club who becomes the main character in the ""Girls' Arc."	"The ""boys' version"" of this coming-of-age horror film depicts the joint training camp of the drama clubs of boys' and girls' high schools in two films, the ""boys' version"" and the ""girls' version,"" each depicting the drama clubs from the respective perspectives of boys and girls. The drama club of Muduchi High School, a boys' high school located on top of a mountain, invites Shiran High School, a girls' high school, to hold a joint camp in anticipation of the school's integration into a co-ed school the following year. The boys' club members, including Sota, who are excited to meet the girls, and the girls' club members, including Koharu, start the joint training camp, but a series of frightening and strange events occur to the club members. It soon becomes clear that they are the work of ""Dorome,"" an old mountain legend. The ""Boys' Arc"" stars Yuta Ozeki (Gomenne Seishun!) as Sota, the main character of the ""Boys' Arc. and Aoi Morikawa plays Koharu, a member of the girls' club who becomes the main character in the ""Girls' Arc."	"The ""boys' version"" of this coming-of-age horror film depicts the joint training camp of the drama clubs of boys' and girls' high schools in two films, the ""boys' version"" and the ""girls' version,"" each depicting the drama clubs from the respective perspectives of boys and girls. The drama club of Muduchi High School, a boys' high school located on top of a mountain, invites Shiran High School, a girls' high school, to hold a joint camp in anticipation of the school's integration into a co-ed school the following year. The boys' club members, including Sota, who are excited to meet the girls, and the girls' club members, including Koharu, start the joint training camp, but a series of frightening and strange events occur to the club members. It soon becomes clear that they are the work of ""Dorome,"" an old mountain legend. The ""Boys' Arc"" stars Yuta Ozeki (Gomenne Seishun!) as Sota, the main character of the ""Boys' Arc. and Aoi Morikawa plays Koharu, a member of the girls' club who becomes the main character in the ""Girls' Arc."		en		https://yts.mx/assets/images/movies/dorome_girls_2016/background.jpg	https://yts.mx/assets/images/movies/dorome_girls_2016/background.jpg	https://yts.mx/assets/images/movies/dorome_girls_2016/small-cover.jpg	https://yts.mx/assets/images/movies/dorome_girls_2016/medium-cover.jpg	https://yts.mx/assets/images/movies/dorome_girls_2016/large-cover.jpg	ok	2022-12-01 02:57:44	1669859864
47092	https://yts.mx/movies/art-krimes-by-krimes-2021	tt9351788	Art & Krimes by Krimes	Art & Krimes by Krimes	Art & Krimes by Krimes (2021)	art-krimes-by-krimes-2021	2021	8.5	85	{Documentary}	Follows Philadelphia artist Jesse Krimes, who created spectacular works while incarcerated and continues to use his work to inspire and challenge.	Follows Philadelphia artist Jesse Krimes, who created spectacular works while incarcerated and continues to use his work to inspire and challenge.	Follows Philadelphia artist Jesse Krimes, who created spectacular works while incarcerated and continues to use his work to inspire and challenge.	Z78Hl-pu5i8	en		https://yts.mx/assets/images/movies/art_krimes_by_krimes_2021/background.jpg	https://yts.mx/assets/images/movies/art_krimes_by_krimes_2021/background.jpg	https://yts.mx/assets/images/movies/art_krimes_by_krimes_2021/small-cover.jpg	https://yts.mx/assets/images/movies/art_krimes_by_krimes_2021/medium-cover.jpg	https://yts.mx/assets/images/movies/art_krimes_by_krimes_2021/large-cover.jpg	ok	2022-11-30 23:51:59	1669848719
47090	https://yts.mx/movies/favorite-daughter-2022	tt19358360	Favorite Daughter	Favorite Daughter	Favorite Daughter (2022)	favorite-daughter-2022	2022	0.0	0		"FAVORITE DAUGHTER is an intimate portrait of my grandmother Sylvia Weinstock and my mother Janet Isa, sheltering in place together in a lower Manhattan apartment during the COVID-19 pandemic. Sylvia was living alone for the first time in her life when after her partner of 69 years, my grandpa, Ben, passed away. Then her youngest daughter, Janet, moved in. This short documentary is both raw and charming, melancholy and funny-a portrait of two women with vastly different experiences coming together and supporting one another through the uncertainty of spending the next chapters of their lives ""alone,"" without a partner."	"FAVORITE DAUGHTER is an intimate portrait of my grandmother Sylvia Weinstock and my mother Janet Isa, sheltering in place together in a lower Manhattan apartment during the COVID-19 pandemic. Sylvia was living alone for the first time in her life when after her partner of 69 years, my grandpa, Ben, passed away. Then her youngest daughter, Janet, moved in. This short documentary is both raw and charming, melancholy and funny-a portrait of two women with vastly different experiences coming together and supporting one another through the uncertainty of spending the next chapters of their lives ""alone,"" without a partner."	"FAVORITE DAUGHTER is an intimate portrait of my grandmother Sylvia Weinstock and my mother Janet Isa, sheltering in place together in a lower Manhattan apartment during the COVID-19 pandemic. Sylvia was living alone for the first time in her life when after her partner of 69 years, my grandpa, Ben, passed away. Then her youngest daughter, Janet, moved in. This short documentary is both raw and charming, melancholy and funny-a portrait of two women with vastly different experiences coming together and supporting one another through the uncertainty of spending the next chapters of their lives ""alone,"" without a partner."		en		https://yts.mx/assets/images/movies/favorite_daughter_2022/background.jpg	https://yts.mx/assets/images/movies/favorite_daughter_2022/background.jpg	https://yts.mx/assets/images/movies/favorite_daughter_2022/small-cover.jpg	https://yts.mx/assets/images/movies/favorite_daughter_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/favorite_daughter_2022/large-cover.jpg	ok	2022-11-30 23:26:35	1669847195
47091	https://yts.mx/movies/christmas-ransom-2022	tt21817374	Christmas Ransom	Christmas Ransom	Christmas Ransom (2022)	christmas-ransom-2022	2022	0.0	84	{Adventure, Comedy, Family}	When a pair of bumbling crooks hijack the Harrington and Sons toy store, a pair of kids stumble into the heist and are forced to team up with a female security officer to save Christmas.	When a pair of bumbling crooks hijack the Harrington and Sons toy store, a pair of kids stumble into the heist and are forced to team up with a female security officer to save Christmas.	When a pair of bumbling crooks hijack the Harrington and Sons toy store, a pair of kids stumble into the heist and are forced to team up with a female security officer to save Christmas.	MhLCQbHYlqE	en		https://yts.mx/assets/images/movies/christmas_ransom_2022/background.jpg	https://yts.mx/assets/images/movies/christmas_ransom_2022/background.jpg	https://yts.mx/assets/images/movies/christmas_ransom_2022/small-cover.jpg	https://yts.mx/assets/images/movies/christmas_ransom_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/christmas_ransom_2022/large-cover.jpg	ok	2022-12-01 01:23:28	1669854208
