movieId,genre
46423,Action
46422,Thriller
46421,Thriller
46420,Biography
46420,Documentary
46420,Music
46419,Drama
46418,Crime
46418,Drama
46417,Documentary
46416,Drama
46415,Horror
46415,Mystery
46415,Romance
46414,Documentary
46413,Horror
46412,Documentary
46411,Action
46411,Horror
46411,Thriller
46410,Drama
46410,Horror
46410,Thriller
46409,Documentary
46408,Documentary
46407,Biography
46407,Drama
46406,Biography
46406,Drama
46405,Romance
46404,Thriller
46403,Drama
46402,Thriller
46401,Romance
46401,Sport
46400,Drama
46399,Action
46398,Biography
46398,Crime
46398,Drama
46397,Crime
46397,Documentary
46396,Comedy
46396,Drama
46396,Music
46395,Comedy
46395,Drama
46394,Drama
46393,Action
46392,Thriller
46390,Drama
46390,Romance
46391,Action
46391,Adventure
46391,Drama
46391,History
46391,Music
46389,Thriller
46388,Crime
46388,Mystery
46388,Thriller
46387,Crime
46387,Drama
46387,History
46387,Horror
46386,Drama
46385,Crime
46385,Thriller
46384,Crime
46384,Mystery
46384,Thriller
46383,Comedy
46383,Family
46383,Fantasy
46383,Musical
46383,Romance
46382,Thriller
46381,Drama
46381,Thriller
46380,Thriller
46379,Comedy
46379,Family
46378,Adventure
46378,Drama
46378,History
46377,Action
46377,Crime
46377,Thriller
46376,Action
46376,Adventure
46376,Crime
46376,Drama
46376,Mystery
46375,Comedy
46375,Drama
46375,Thriller
46374,Drama
46373,Family
46372,Action
46372,Comedy
46372,Drama
46372,Sci-Fi
46371,Thriller
46370,Comedy
46370,Mystery
46370,Romance
46370,Sci-Fi
46369,Action
46369,Crime
46368,Documentary
46367,Biography
46367,Documentary
46366,Biography
46366,Comedy
46366,Music
46365,Drama
46364,Comedy
46364,Drama
46363,Thriller
46362,Drama
46362,Romance
46361,Romance
46360,Comedy
46360,Documentary
46359,Drama
46359,Horror
46359,Mystery
46359,Thriller
46358,Comedy
46358,Sci-Fi
46357,Horror
46356,Adventure
46356,Fantasy
46355,Comedy
46354,Comedy
46354,Drama
46354,Romance
46353,Drama
46352,Documentary
46351,Romance
46350,Documentary
46348,Horror
46349,Adventure
46347,Adventure
46347,Comedy
46347,Musical
46346,Action
46346,Documentary
46345,Horror
46343,Action
46344,Documentary
46344,Family
46341,Comedy
46342,Romance
46340,Crime
46340,Drama
46340,Thriller
46339,Comedy
46338,Drama
46338,Romance
46337,Action
46335,Comedy
46335,Romance
46336,Action
46334,Drama
46334,Mystery
46334,Thriller
46333,Comedy
46333,Drama
46332,Drama
46331,Horror
46331,Thriller
46330,Horror
46330,Mystery
46330,Thriller
46329,Crime
46329,Drama
46329,Film-Noir
46328,Horror
46327,Thriller
46325,Drama
46325,Romance
46324,Drama
46323,Thriller
46322,Horror
46321,Adventure
46321,Drama
46321,Fantasy
46320,Romance
46319,Comedy
46318,Action
46318,Comedy
46318,Romance
46317,Crime
46317,Drama
46317,Mystery
46316,Documentary
46315,Biography
46315,Comedy
46315,History
46314,Biography
46314,Drama
46314,Music
46313,Action
46313,Drama
46313,History
46312,Horror
46311,Horror
46311,Mystery
46311,Thriller
46310,Action
46310,Crime
46310,Thriller
46309,Action
46309,Adventure
46309,Horror
46309,Thriller
46308,Documentary
46307,Action
46307,Comedy
46307,Drama
46307,Sci-Fi
46306,Comedy
46306,Mystery
46305,Drama
46305,Family
46304,Animation
46303,Drama
46303,Family
46302,Drama
46301,Documentary
46300,Action
46300,Comedy
46299,Comedy
46299,Drama
46299,Romance
46298,Drama
46297,Comedy
46297,Romance
46296,Sci-Fi
46295,Drama
46295,Horror
46295,Mystery
46295,Sci-Fi
46295,Thriller
46294,Documentary
46293,Documentary
46292,Documentary
46291,Documentary
46290,Documentary
46289,Action
46288,Documentary
46287,Documentary
46286,Biography
46286,Documentary
46285,Documentary
46284,Documentary
46283,Crime
46283,Documentary
46282,Documentary
46281,Documentary
46280,Biography
46280,Documentary
46280,History
46279,Biography
46279,Documentary
46279,Drama
46279,Music
46279,Mystery
46278,Documentary
46277,Action
46276,Documentary
46276,Drama
46276,Fantasy
46276,History
46276,Horror
46276,Mystery
46276,Thriller
46275,Adventure
46275,Fantasy
46275,Romance
46274,Drama
46273,Drama
46273,History
46273,War
46272,Action
46272,Sport
46271,Horror
46271,Sci-Fi
46270,Drama
46269,Drama
46269,Mystery
46269,Thriller
46268,Documentary
46267,Drama
46266,Comedy
46266,Drama
46265,Comedy
46265,Drama
46265,History
46265,Sport
46261,Documentary
46260,Documentary
46262,Horror
46262,Thriller
46263,Mystery
46263,Thriller
46264,Drama
46259,Drama
46259,Thriller
46258,Horror
46258,Thriller
46257,Crime
46257,Drama
46257,Film-Noir
46256,Thriller
46255,Drama
46254,Comedy
46253,Comedy
46253,Drama
46253,Family
46253,Romance
46252,Documentary
46251,Comedy
46251,Romance
46250,Comedy
46249,Comedy
46249,Drama
46249,Horror
46248,Sci-Fi
46247,Comedy
46247,Romance
46246,Comedy
46246,Romance
46245,Comedy
46244,Crime
46244,Drama
46244,Thriller
46243,Documentary
46243,Family
46242,Comedy
46242,Drama
46241,Action
46241,Documentary
46240,Comedy
46239,Biography
46239,Crime
46239,Documentary
46239,History
46239,News
46238,Biography
46238,Documentary
46237,Comedy
46237,Drama
46236,Comedy
46236,Family
46235,Drama
46235,Romance
46234,Biography
46234,Drama
46234,History
46233,Comedy
46232,Comedy
46232,Drama
46232,Romance
46231,Comedy
46231,Fantasy
46231,Horror
46230,Horror
46229,Crime
46229,Drama
46228,Documentary
46227,Crime
46226,Action
46226,Drama
46226,Thriller
46225,Documentary
46224,Comedy
46224,Romance
46223,Animation
46223,Comedy
46223,Drama
46223,Romance
46222,Horror
46221,Horror
46220,Horror
46219,Documentary
46218,Horror
46217,Drama
46216,Comedy
46215,Drama
46215,Horror
46215,Mystery
46215,Thriller
46214,Comedy
46214,Fantasy
46214,Musical
46213,Documentary
46212,Horror
46211,Drama
46210,Comedy
46210,Horror
46209,Comedy
46208,Comedy
46208,Documentary
46207,Documentary
46206,Comedy
46206,Drama
46205,Documentary
46205,Horror
46205,Mystery
46205,Reality-TV
46205,Thriller
46204,Drama
46203,Action
46203,Adventure
46203,Comedy
46203,Fantasy
46202,Comedy
46202,Horror
46201,Action
46201,Horror
46200,Drama
46199,Comedy
46199,Horror
46198,Crime
46197,Horror
46196,Action
46196,Adventure
46195,Horror
46194,Documentary
46193,Biography
46193,Documentary
46193,Fantasy
46193,Horror
46193,Sci-Fi
46192,Documentary
46191,Action
46190,Comedy
46190,Drama
46189,Documentary
46189,Horror
46188,Adventure
46188,Animation
46188,Comedy
46188,Family
46188,Fantasy
46188,Horror
46187,Crime
46187,Drama
46186,Action
46186,Drama
46186,War
46185,Crime
46185,Drama
46185,Thriller
46184,Horror
