id,primary_genre
46423,Action
46422,Thriller
46421,Thriller
46420,Biography
46419,Drama
46418,Crime
46417,Documentary
46416,Drama
46415,Horror
46414,Documentary
46413,Horror
46412,Documentary
46411,Action
46410,Drama
46409,Documentary
46408,Documentary
46407,Biography
46406,Biography
46405,Romance
46404,Thriller
46403,Drama
46402,Thriller
46401,Romance
46400,Drama
46399,Action
46398,Biography
46397,Crime
46396,Comedy
46395,Comedy
46394,Drama
46393,Action
46392,Thriller
46390,Drama
46391,Action
46389,Thriller
46388,Crime
46387,Crime
46386,Drama
46385,Crime
46384,Crime
46383,Comedy
46382,Thriller
46381,Drama
46380,Thriller
46379,Comedy
46378,Adventure
46377,Action
46376,Action
46375,Comedy
46374,Drama
46373,Family
46372,Action
46371,Thriller
46370,Comedy
46369,Action
46368,Documentary
46367,Biography
46366,Biography
46365,Drama
46364,Comedy
46363,Thriller
46362,Drama
46361,Romance
46360,Comedy
46359,Drama
46358,Comedy
46357,Horror
46356,Adventure
46355,Comedy
46354,Comedy
46353,Drama
46352,Documentary
46351,Romance
46350,Documentary
46348,Horror
46349,Adventure
46347,Adventure
46346,Action
46345,Horror
46343,Action
46344,Documentary
46341,Comedy
46342,Romance
46340,Crime
46339,Comedy
46338,Drama
46337,Action
46335,Comedy
46336,Action
46334,Drama
46333,Comedy
46332,Drama
46331,Horror
46330,Horror
46329,Crime
46328,Horror
46327,Thriller
46325,Drama
46324,Drama
46323,Thriller
46322,Horror
46321,Adventure
46320,Romance
46319,Comedy
46318,Action
46317,Crime
46316,Documentary
46315,Biography
46314,Biography
46313,Action
46312,Horror
46311,Horror
46310,Action
46309,Action
46308,Documentary
46307,Action
46306,Comedy
46305,Drama
46304,Animation
46303,Drama
46302,Drama
46301,Documentary
46300,Action
46299,Comedy
46298,Drama
46297,Comedy
46296,Sci-Fi
46295,Drama
46294,Documentary
46293,Documentary
46292,Documentary
46291,Documentary
46290,Documentary
46289,Action
46288,Documentary
46287,Documentary
46286,Biography
46285,Documentary
46284,Documentary
46283,Crime
46282,Documentary
46281,Documentary
46280,Biography
46279,Biography
46278,Documentary
46277,Action
46276,Documentary
46275,Adventure
46274,Drama
46273,Drama
46272,Action
46271,Horror
46270,Drama
46269,Drama
46268,Documentary
46267,Drama
46266,Comedy
46265,Comedy
46261,Documentary
46260,Documentary
46262,Horror
46263,Mystery
46264,Drama
46259,Drama
46258,Horror
46257,Crime
46256,Thriller
46255,Drama
46254,Comedy
46253,Comedy
46252,Documentary
46251,Comedy
46250,Comedy
46249,Comedy
46248,Sci-Fi
46247,Comedy
46246,Comedy
46245,Comedy
46244,Crime
46243,Documentary
46242,Comedy
46241,Action
46240,Comedy
46239,Biography
46238,Biography
46237,Comedy
46236,Comedy
46235,Drama
46234,Biography
46233,Comedy
46232,Comedy
46231,Comedy
46230,Horror
46229,Crime
46228,Documentary
46227,Crime
46226,Action
46225,Documentary
46224,Comedy
46223,Animation
46222,Horror
46221,Horror
46220,Horror
46219,Documentary
46218,Horror
46217,Drama
46216,Comedy
46215,Drama
46214,Comedy
46213,Documentary
46212,Horror
46211,Drama
46210,Comedy
46209,Comedy
46208,Comedy
46207,Documentary
46206,Comedy
46205,Documentary
46204,Drama
46203,Action
46202,Comedy
46201,Action
46200,Drama
46199,Comedy
46198,Crime
46197,Horror
46196,Action
46195,Horror
46194,Documentary
46193,Biography
46192,Documentary
46191,Action
46190,Comedy
46189,Documentary
46188,Adventure
46187,Crime
46186,Action
46185,Crime
46184,Horror
46183,Biography
46182,Comedy
46181,Action
46180,Comedy
46179,Drama
46178,Action
46177,Adventure
46176,Animation
46175,Animation
46174,Drama
46173,Drama
46172,Action
46171,Documentary
46170,Comedy
46169,Documentary
46168,Horror
46167,Horror
46166,Animation
46165,Action
46164,Documentary
46163,Horror
46162,Horror
46161,Drama
46160,Horror
46159,Horror
46158,Action
46157,Comedy
46156,Drama
46155,Comedy
46154,Drama
46153,Documentary
46152,Drama
46151,Documentary
46150,Crime
46149,Comedy
46148,Comedy
46147,Musical
46146,Action
46145,Biography
46144,Documentary
46143,Drama
46142,Documentary
46141,Comedy
46140,Horror
46139,Documentary
46138,Documentary
46137,Action
46136,Documentary
46135,Mystery
46133,Drama
46132,Comedy
46134,Drama
46131,Documentary
46130,Documentary
46129,Action
46128,Adventure
46127,Comedy
46126,Reality-TV
46125,Horror
46124,Documentary
46122,Documentary
46123,Biography
46121,Action
46120,Documentary
46119,Documentary
46118,Documentary
46117,Drama
46116,Drama
46115,Music
46114,Comedy
46113,Drama
46112,Adventure
46111,Documentary
46110,Horror
46109,Comedy
46108,Comedy
46107,Drama
46106,Documentary
46105,Crime
46104,Drama
46103,Drama
46102,Documentary
46101,Drama
46100,Drama
46099,Horror
46098,Drama
46097,Comedy
46096,Comedy
46095,Mystery
46094,Horror
46093,Drama
46092,Drama
46091,Fantasy
46090,Biography
46089,Drama
46088,Drama
46086,Drama
46087,Drama
46085,Comedy
46084,Adventure
46083,Documentary
46082,Drama
46081,Crime
46080,Drama
46079,Drama
46078,Action
46077,Action
46076,Comedy
46075,Action
46073,Comedy
46072,Drama
46071,Drama
46070,Drama
46069,Comedy
46068,Horror
46067,Horror
46066,Comedy
46065,Comedy
46064,Action
46063,Action
46062,Crime
46061,Drama
46060,Action
46059,Action
46058,Crime
46057,Comedy
46056,Drama
46055,Crime
46054,Drama
46053,Romance
46052,Comedy
46051,Action
46050,Action
46049,Drama
46048,Documentary
46047,Comedy
46046,Comedy
46045,Crime
46044,Drama
46043,Drama
46042,Drama
46041,Drama
46040,Documentary
46039,Drama
46038,Drama
46037,Comedy
46036,Drama
46035,Music
46034,Drama
46033,Comedy
46032,Biography
46031,Horror
46030,Documentary
46029,Documentary
46028,Comedy
46027,Drama
46026,Documentary
46025,Action
46024,Action
46023,Comedy
46022,Crime
46021,Comedy
46020,Action
46019,Documentary
46018,Romance
46017,Comedy
46016,Horror
46015,Thriller
46014,Comedy
46013,Drama
46012,Drama
46011,Drama
46010,Horror
46009,Horror
46008,Biography
46006,Crime
46005,Action
46004,Crime
46003,Drama
46002,Drama
46001,Drama
46000,Drama
45999,Crime
45998,Drama
45997,Action
45996,Drama
45995,Drama
45994,Drama
45993,Comedy
45992,Documentary
45991,Drama
45990,Documentary
45989,Action
45988,Biography
45987,Horror
45986,Horror
45985,Comedy
45984,Music
45983,Comedy
45982,Drama
45981,Action
45980,Horror
45979,Horror
45978,Comedy
45977,Comedy
45976,Action
45975,Comedy
45974,Family
45973,Comedy
45972,Biography
45969,Comedy
45970,Documentary
45966,Comedy
45967,Action
45968,Comedy
45965,Comedy
45964,Comedy
45963,Documentary
45962,Documentary
45961,Documentary
45960,Documentary
45959,Drama
