id	url	imdb_code	title	title_english	title_long	slug	year	rating	runtime	genres	summary	description_full	synopsis	yt_trailer_code	language	mpa_rating	background_image	background_image_original	small_cover_image	medium_cover_image	large_cover_image	state	date_uploaded	date_uploaded_unix
46427	https://yts.mx/movies/a-magical-christmas-village-2022	tt22246514	A Magical Christmas Village	A Magical Christmas Village	A Magical Christmas Village (2022)	a-magical-christmas-village-2022	2022	6.1	84	{Comedy, Family, Romance}	It follows Summer's life as her mother Vivian and daughter Chloe move in with her. Vivian sets up a miniature Christmas village. As Chloe begins setting up the figurines, real-life events seem to mimic the scenes she creates.	It follows Summer's life as her mother Vivian and daughter Chloe move in with her. Vivian sets up a miniature Christmas village. As Chloe begins setting up the figurines, real-life events seem to mimic the scenes she creates.	It follows Summer's life as her mother Vivian and daughter Chloe move in with her. Vivian sets up a miniature Christmas village. As Chloe begins setting up the figurines, real-life events seem to mimic the scenes she creates.	JSd1hHuMQzY	en		https://yts.mx/assets/images/movies/a_magical_christmas_village_2022/background.jpg	https://yts.mx/assets/images/movies/a_magical_christmas_village_2022/background.jpg	https://yts.mx/assets/images/movies/a_magical_christmas_village_2022/small-cover.jpg	https://yts.mx/assets/images/movies/a_magical_christmas_village_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/a_magical_christmas_village_2022/large-cover.jpg	ok	2022-11-07 01:13:01	1667779981
46428	https://yts.mx/movies/wayfinder-2022	tt21148112	Wayfinder	Wayfinder	Wayfinder (2022)	wayfinder-2022	2022	4.3	0	{Action}	Travelling from North to South, the Wanderer passes through different regions, towns and landscapes, encountering people, stories and situations on her way. Across six chapters, including 'The North', 'The Big Smoke' and 'The Kingdom of the East', this epic film builds a dialogue about class and economic exclusion, belonging and displacement, cultural heritage and the meaning of home. The Wanderer acts as a witness to accounts, conversations, places and histories. Setting out from the ancient paths of Hadrian's wall, she explores many environments, from a housing estate in Wolverhampton to E Pellicci Café in Bethnal Green, and the National Gallery deserted at night, eventually reaching the sea at Margate.	Travelling from North to South, the Wanderer passes through different regions, towns and landscapes, encountering people, stories and situations on her way. Across six chapters, including 'The North', 'The Big Smoke' and 'The Kingdom of the East', this epic film builds a dialogue about class and economic exclusion, belonging and displacement, cultural heritage and the meaning of home. The Wanderer acts as a witness to accounts, conversations, places and histories. Setting out from the ancient paths of Hadrian's wall, she explores many environments, from a housing estate in Wolverhampton to E Pellicci Café in Bethnal Green, and the National Gallery deserted at night, eventually reaching the sea at Margate.	Travelling from North to South, the Wanderer passes through different regions, towns and landscapes, encountering people, stories and situations on her way. Across six chapters, including 'The North', 'The Big Smoke' and 'The Kingdom of the East', this epic film builds a dialogue about class and economic exclusion, belonging and displacement, cultural heritage and the meaning of home. The Wanderer acts as a witness to accounts, conversations, places and histories. Setting out from the ancient paths of Hadrian's wall, she explores many environments, from a housing estate in Wolverhampton to E Pellicci Café in Bethnal Green, and the National Gallery deserted at night, eventually reaching the sea at Margate.	PXtCEM-b0d0	en		https://yts.mx/assets/images/movies/wayfinder_2022/background.jpg	https://yts.mx/assets/images/movies/wayfinder_2022/background.jpg	https://yts.mx/assets/images/movies/wayfinder_2022/small-cover.jpg	https://yts.mx/assets/images/movies/wayfinder_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/wayfinder_2022/large-cover.jpg	ok	2022-11-07 04:54:49	1667793289
46429	https://yts.mx/movies/a-kismet-christmas-2022	tt22196454	A Kismet Christmas	A Kismet Christmas	A Kismet Christmas (2022)	a-kismet-christmas-2022	2022	6.4	84	{Comedy, Drama, Family, Romance}	There's an old family legend that if someone receives a kismet cookie and sleeps with it under their pillow, then they will dream of their true love. As a teenager, Sarah (Sarah Ramos) did this. When her dream showed Travis (Carlos Marks) was her true love, she went to him to tell him. Unfortunately, Travis was marrying someone else. Sarah ran away to become a writer. Now she's returned to her hometown, and discovered Travis is the father of the child who won her writing contest.	There's an old family legend that if someone receives a kismet cookie and sleeps with it under their pillow, then they will dream of their true love. As a teenager, Sarah (Sarah Ramos) did this. When her dream showed Travis (Carlos Marks) was her true love, she went to him to tell him. Unfortunately, Travis was marrying someone else. Sarah ran away to become a writer. Now she's returned to her hometown, and discovered Travis is the father of the child who won her writing contest.	There's an old family legend that if someone receives a kismet cookie and sleeps with it under their pillow, then they will dream of their true love. As a teenager, Sarah (Sarah Ramos) did this. When her dream showed Travis (Carlos Marks) was her true love, she went to him to tell him. Unfortunately, Travis was marrying someone else. Sarah ran away to become a writer. Now she's returned to her hometown, and discovered Travis is the father of the child who won her writing contest.	3VBWS_z-cgo	en		https://yts.mx/assets/images/movies/a_kismet_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/a_kismet_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/a_kismet_christmas_2022/small-cover.jpg	https://yts.mx/assets/images/movies/a_kismet_christmas_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/a_kismet_christmas_2022/large-cover.jpg	ok	2022-11-07 01:13:51	1667780031
46430	https://yts.mx/movies/women-in-heat-behind-bars-1987	tt0228684	Women in Heat Behind Bars	Women in Heat Behind Bars	Women in Heat Behind Bars (1987)	women-in-heat-behind-bars-1987	1987	5.0	70	{Action, Crime, Thriller}	Shinobu is bullied and abused by inmates and guards and after being framed for starting a fight, is taken away and tied up by the prison's infamous Mr. Kiya. Through flashbacks, we discover why many of the women have been locked up here, and soon, in one great act of defiance, they rise up to overtake the prison in a bloody, violent riot. Can the shy Himeno ever escape this living hell?	Shinobu is bullied and abused by inmates and guards and after being framed for starting a fight, is taken away and tied up by the prison's infamous Mr. Kiya. Through flashbacks, we discover why many of the women have been locked up here, and soon, in one great act of defiance, they rise up to overtake the prison in a bloody, violent riot. Can the shy Himeno ever escape this living hell?	Shinobu is bullied and abused by inmates and guards and after being framed for starting a fight, is taken away and tied up by the prison's infamous Mr. Kiya. Through flashbacks, we discover why many of the women have been locked up here, and soon, in one great act of defiance, they rise up to overtake the prison in a bloody, violent riot. Can the shy Himeno ever escape this living hell?		ja		https://yts.mx/assets/images/movies/women_in_heat_behind_bars_1987/background.jpg	https://yts.mx/assets/images/movies/women_in_heat_behind_bars_1987/background.jpg	https://yts.mx/assets/images/movies/women_in_heat_behind_bars_1987/small-cover.jpg	https://yts.mx/assets/images/movies/women_in_heat_behind_bars_1987/medium-cover.jpg	https://yts.mx/assets/images/movies/women_in_heat_behind_bars_1987/large-cover.jpg	ok	2022-11-07 03:36:25	1667788585
46431	https://yts.mx/movies/the-american-scream-2012	tt2075373	The American Scream	The American Scream	The American Scream (2012)	the-american-scream-2012	2012	6.9	91	{Documentary}	An original documentary which follows three families in a small seaside town in Massachusetts as they prepare for their annual home made haunted houses. This story highlights their long journey from planning to opening day and cleanup until next year and the obstacles which face them during the process.	An original documentary which follows three families in a small seaside town in Massachusetts as they prepare for their annual home made haunted houses. This story highlights their long journey from planning to opening day and cleanup until next year and the obstacles which face them during the process.	An original documentary which follows three families in a small seaside town in Massachusetts as they prepare for their annual home made haunted houses. This story highlights their long journey from planning to opening day and cleanup until next year and the obstacles which face them during the process.	vQMkrdzD3xM	en		https://yts.mx/assets/images/movies/the_american_scream_2012/background.jpg	https://yts.mx/assets/images/movies/the_american_scream_2012/background.jpg	https://yts.mx/assets/images/movies/the_american_scream_2012/small-cover.jpg	https://yts.mx/assets/images/movies/the_american_scream_2012/medium-cover.jpg	https://yts.mx/assets/images/movies/the_american_scream_2012/large-cover.jpg	ok	2022-11-07 01:40:32	1667781632
46432	https://yts.mx/movies/maple-valley-christmas-2022	tt21841642	Maple Valley Christmas	Maple Valley Christmas	Maple Valley Christmas (2022)	maple-valley-christmas-2022	2022	6.3	85	{Comedy, Drama, Romance}	Erica is a rancher who has spent her whole life working the family farm with her mother and sister. When Aaron arrives and disrupts her plans, she starts to question what it is she actually wants.	Erica is a rancher who has spent her whole life working the family farm with her mother and sister. When Aaron arrives and disrupts her plans, she starts to question what it is she actually wants.	Erica is a rancher who has spent her whole life working the family farm with her mother and sister. When Aaron arrives and disrupts her plans, she starts to question what it is she actually wants.	g7e9DqQW_Ks	en		https://yts.mx/assets/images/movies/maple_valley_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/maple_valley_christmas_2022/background.jpg	https://yts.mx/assets/images/movies/maple_valley_christmas_2022/small-cover.jpg	https://yts.mx/assets/images/movies/maple_valley_christmas_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/maple_valley_christmas_2022/large-cover.jpg	ok	2022-11-06 23:41:03	1667774463
46433	https://yts.mx/movies/the-discoverers-2012	tt1715876	The Discoverers	The Discoverers	The Discoverers (2012)	the-discoverers-2012	2012	5.6	104	{Comedy}	A road movie about a dysfunctional family who embark on a Lewis and Clark re-enactment trek and discover themselves and each other in the process.	A road movie about a dysfunctional family who embark on a Lewis and Clark re-enactment trek and discover themselves and each other in the process.	A road movie about a dysfunctional family who embark on a Lewis and Clark re-enactment trek and discover themselves and each other in the process.		en		https://yts.mx/assets/images/movies/the_discoverers_2012/background.jpg	https://yts.mx/assets/images/movies/the_discoverers_2012/background.jpg	https://yts.mx/assets/images/movies/the_discoverers_2012/small-cover.jpg	https://yts.mx/assets/images/movies/the_discoverers_2012/medium-cover.jpg	https://yts.mx/assets/images/movies/the_discoverers_2012/large-cover.jpg	ok	2022-11-07 03:00:40	1667786440
46434	https://yts.mx/movies/a-blood-story-2015	tt2497768	A Blood Story	A Blood Story	A Blood Story (2015)	a-blood-story-2015	2015	3.1	85	{Horror}	Three strangers find themselves at a villa, each with the same goal of discovering the Fountain of Youth, rumored to be nearby. One by one they succumb to the carnal perversions and depraved delights provided by the villa, unaware they are pawns in the resurrection of a centuries old evil.	Three strangers find themselves at a villa, each with the same goal of discovering the Fountain of Youth, rumored to be nearby. One by one they succumb to the carnal perversions and depraved delights provided by the villa, unaware they are pawns in the resurrection of a centuries old evil.	Three strangers find themselves at a villa, each with the same goal of discovering the Fountain of Youth, rumored to be nearby. One by one they succumb to the carnal perversions and depraved delights provided by the villa, unaware they are pawns in the resurrection of a centuries old evil.		en		https://yts.mx/assets/images/movies/a_blood_story_2015/background.jpg	https://yts.mx/assets/images/movies/a_blood_story_2015/background.jpg	https://yts.mx/assets/images/movies/a_blood_story_2015/small-cover.jpg	https://yts.mx/assets/images/movies/a_blood_story_2015/medium-cover.jpg	https://yts.mx/assets/images/movies/a_blood_story_2015/large-cover.jpg	ok	2022-11-07 00:23:44	1667777024
46435	https://yts.mx/movies/joy-of-mans-desiring-2014	tt3478868	Joy of Man's Desiring	Joy of Man's Desiring	Joy of Man's Desiring (2014)	joy-of-mans-desiring-2014	2014	6.5	70	{Documentary, News}	An open-ended exploration of the energies and rituals of various workplaces. From one worker to another and one machine to the next; hands, faces, breaks, toil: what kind of absurdist, abstract dialogue can be started between human beings and their need to work? What is the value of the time we spend multiplying and repeating the same motions that ultimately lead to a rest - a state of repose whose quality defies definition.	An open-ended exploration of the energies and rituals of various workplaces. From one worker to another and one machine to the next; hands, faces, breaks, toil: what kind of absurdist, abstract dialogue can be started between human beings and their need to work? What is the value of the time we spend multiplying and repeating the same motions that ultimately lead to a rest - a state of repose whose quality defies definition.	An open-ended exploration of the energies and rituals of various workplaces. From one worker to another and one machine to the next; hands, faces, breaks, toil: what kind of absurdist, abstract dialogue can be started between human beings and their need to work? What is the value of the time we spend multiplying and repeating the same motions that ultimately lead to a rest - a state of repose whose quality defies definition.		en		https://yts.mx/assets/images/movies/joy_of_mans_desiring_2014/background.jpg	https://yts.mx/assets/images/movies/joy_of_mans_desiring_2014/background.jpg	https://yts.mx/assets/images/movies/joy_of_mans_desiring_2014/small-cover.jpg	https://yts.mx/assets/images/movies/joy_of_mans_desiring_2014/medium-cover.jpg	https://yts.mx/assets/images/movies/joy_of_mans_desiring_2014/large-cover.jpg	ok	2022-11-07 00:19:11	1667776751
46436	https://yts.mx/movies/2025-blood-white-blue-2022	tt9893130	2025: Blood, White & Blue	2025: Blood, White & Blue	2025: Blood, White & Blue (2022)	2025-blood-white-blue-2022	2022	3.3	135	{Action, Comedy, Horror}	In the year 2025, the 45th President of the United States of America is back for his 2rd term in office and re-implements the Purge. With the 2nd Mexican border wall in the works, Homeland Security is cracking down on criminals to Make America Safe Again. Bill Wilson makes the bust of his career by taking down a member of the Mexican Drug Cartel and makes a small seizure of narcotics and cash that draw interest from a group of dirty agents. The following night, the night of the annual purge, Bill receives some unexpected visitors that pay him and his family a visit as they attempt to survive the next 12 hours by safety in numbers.	In the year 2025, the 45th President of the United States of America is back for his 2rd term in office and re-implements the Purge. With the 2nd Mexican border wall in the works, Homeland Security is cracking down on criminals to Make America Safe Again. Bill Wilson makes the bust of his career by taking down a member of the Mexican Drug Cartel and makes a small seizure of narcotics and cash that draw interest from a group of dirty agents. The following night, the night of the annual purge, Bill receives some unexpected visitors that pay him and his family a visit as they attempt to survive the next 12 hours by safety in numbers.	In the year 2025, the 45th President of the United States of America is back for his 2rd term in office and re-implements the Purge. With the 2nd Mexican border wall in the works, Homeland Security is cracking down on criminals to Make America Safe Again. Bill Wilson makes the bust of his career by taking down a member of the Mexican Drug Cartel and makes a small seizure of narcotics and cash that draw interest from a group of dirty agents. The following night, the night of the annual purge, Bill receives some unexpected visitors that pay him and his family a visit as they attempt to survive the next 12 hours by safety in numbers.	ueBA-zc_UuI	en		https://yts.mx/assets/images/movies/2025_blood_white_blue_2022/background.jpg	https://yts.mx/assets/images/movies/2025_blood_white_blue_2022/background.jpg	https://yts.mx/assets/images/movies/2025_blood_white_blue_2022/small-cover.jpg	https://yts.mx/assets/images/movies/2025_blood_white_blue_2022/medium-cover.jpg	https://yts.mx/assets/images/movies/2025_blood_white_blue_2022/large-cover.jpg	ok	2022-11-07 01:27:28	1667780848
